,Algorithm,Win.,Dim.,N. s.,WordSim,BATS Male-Female,BATS hypernyms - misc,BATS total,MSR
0,SVD,2,50,-,7.38,0.06,0.0,0.02,65.0
1,SVD,2,100,-,5.79,0.21,0.08,0.04,64.0
2,SVD,2,300,-,11.9,0.15,0.0,0.03,65.0
3,SVD,5,50,-,17.29,0.06,0.05,0.03,66.0
4,SVD,5,100,-,15.73,0.12,0.08,0.03,66.0
5,SVD,5,300,-,15.34,0.21,0.03,0.03,65.0
6,SVD,10,50,-,21.06,0.09,0.08,0.03,66.0
7,SVD,10,100,-,20.13,0.21,0.0,0.03,67.0
8,SVD,10,300,-,16.4,0.18,0.03,0.03,66.0
9,word2vec,2,50,1,1.95,0.05,0.0,0.01,65.0
10,word2vec,2,50,5,11.32,0.24,0.0,0.02,67.0
11,word2vec,2,50,15,17.73,0.0,0.0,0.02,66.0
12,word2vec,2,100,1,2.96,0.0,0.0,0.01,65.0
13,word2vec,2,100,5,9.37,0.14,0.0,0.02,67.0
14,word2vec,2,100,15,15.31,0.14,0.0,0.02,67.0
15,word2vec,2,300,1,5.81,0.0,0.0,0.01,65.0
16,word2vec,2,300,5,10.04,0.05,0.0,0.02,67.0
17,word2vec,2,300,15,15.86,0.14,0.0,0.02,67.0
18,word2vec,5,50,1,-5.86,0.1,0.0,0.02,65.0
19,word2vec,5,50,5,12.78,0.19,0.0,0.01,67.0
20,word2vec,5,50,15,16.84,0.05,0.04,0.02,67.0
21,word2vec,5,100,1,-3.98,0.05,0.0,0.01,65.0
22,word2vec,5,100,5,15.94,0.1,0.0,0.02,67.0
23,word2vec,5,100,15,16.52,0.05,0.0,0.02,67.0
24,word2vec,5,300,1,2.46,0.0,0.0,0.01,65.0
25,word2vec,5,300,5,13.92,0.05,0.0,0.02,67.0
26,word2vec,5,300,15,16.41,0.1,0.0,0.02,67.0
27,word2vec,10,50,1,-0.13,0.24,0.04,0.02,65.0
28,word2vec,10,50,5,10.26,0.14,0.04,0.02,66.0
29,word2vec,10,50,15,18.75,0.0,0.0,0.02,66.0
30,word2vec,10,100,1,-0.81,0.1,0.0,0.01,65.0
31,word2vec,10,100,5,10.59,0.1,0.04,0.02,66.0
32,word2vec,10,100,15,18.6,0.14,0.04,0.02,66.0
33,word2vec,10,300,1,1.39,0.0,0.0,0.0,65.0
34,word2vec,10,300,5,12.66,0.14,0.09,0.02,67.0
35,word2vec,10,300,15,19.46,0.14,0.0,0.02,66.0
